freq	AbsS11graph	PhsS11graph	AbsS11emi	PhsS11emi
9.76	-3.865245537750253E1	-4.084391876756377E1	-2.105203903017059E1	-1.547929770286302E2
9.78	-3.755506852148010E1	-5.024449142293046E1	-2.104809893298151E1	-1.545601659754382E2
9.80	-3.666925333740556E1	-5.338626226050302E1	-2.109834809168848E1	-1.546409434989282E2
9.82	-3.576534363323014E1	-5.679503243304370E1	-2.097373207255211E1	-1.541819206874257E2
9.84	-3.433952906979755E1	-5.572103347662954E1	-2.090007168431918E1	-1.544948945126193E2
9.86	-3.314666151228254E1	-5.616209914824110E1	-2.085780126988266E1	-1.538381992425836E2
9.88	-3.293401731902164E1	-5.552592215158357E1	-2.083334357709178E1	-1.534919979279159E2
9.90	-3.248286143751442E1	-5.440373563949845E1	-2.076157360013617E1	-1.532309290348427E2
9.92	-3.209102611846770E1	-5.700727302362068E1	-2.081336461735625E1	-1.532702974509285E2
9.94	-3.184085710176793E1	-5.834739897233040E1	-2.078813678698591E1	-1.535705715414899E2
9.96	-3.118133639168471E1	-6.099120744205806E1	-2.074510214037042E1	-1.538599595020673E2
9.98	-3.059921099593566E1	-6.055650671008688E1	-2.062771519390675E1	-1.542644241970340E2
10.00	-2.985432502941664E1	-6.094396083704568E1	-2.056703339935814E1	-1.546800572849569E2
10.02	-2.937744006193590E1	-6.011886666359378E1	-2.050875785435072E1	-1.542149170929187E2
10.04	-2.904346776169452E1	-6.008766242023425E1	-2.046027757691509E1	-1.544235571553621E2
10.06	-2.902034445068544E1	-5.936450120196486E1	-2.050295851420179E1	-1.541034130008884E2
10.08	-2.863011646651798E1	-5.921892334680501E1	-2.048107138669718E1	-1.538646566153474E2
10.10	-2.841401701285278E1	-6.034817270015473E1	-2.046066908915715E1	-1.544922567099357E2
10.12	-2.814717545657017E1	-6.153853849771198E1	-2.040127773502093E1	-1.546725167425885E2
10.14	-2.769192578876051E1	-6.086258856375553E1	-2.030218263476843E1	-1.547309485467687E2
10.16	-2.717862032643352E1	-5.986927974627314E1	-2.022330065734100E1	-1.547174275175566E2
10.18	-2.692387721282316E1	-5.998005924894729E1	-2.022387770862372E1	-1.548777564867507E2
10.20	-2.677588096361670E1	-5.886224420665258E1	-2.012187861382051E1	-1.548020678957383E2
10.22	-2.666411795607942E1	-5.807185483580238E1	-2.018259993589828E1	-1.551624156474979E2
10.24	-2.651800631966321E1	-5.849921339514697E1	-2.020221608185413E1	-1.554766067506095E2
10.26	-2.635020371760421E1	-5.927917212350620E1	-2.020853288157893E1	-1.561402639179721E2
10.28	-2.600101778035564E1	-5.961188843629191E1	-2.014761819699831E1	-1.565307895454468E2
10.30	-2.581015833131195E1	-5.885841908948313E1	-2.010412377940382E1	-1.569953282159306E2
10.32	-2.549094826520600E1	-5.847812723232733E1	-2.000938964136310E1	-1.570774446406012E2
10.34	-2.525844372420659E1	-5.759947621635664E1	-2.001535963803073E1	-1.573298591053799E2
10.36	-2.521167205926473E1	-5.738066310967209E1	-2.001648830557956E1	-1.574503558343357E2
10.38	-2.528728960814997E1	-5.631414457456825E1	-2.000047635886310E1	-1.578426447722928E2
10.40	-2.509853148988286E1	-5.665456276986280E1	-2.004028348824102E1	-1.581527277768304E2
10.42	-2.490805159900571E1	-5.732681923161455E1	-2.000028704593329E1	-1.590952755499270E2
10.44	-2.484314076258470E1	-5.773193806157481E1	-2.001918158769691E1	-1.595516420182984E2
10.46	-2.474742894034650E1	-5.705542578852904E1	-1.992831694966894E1	-1.597925744209367E2
10.48	-2.446178592759480E1	-5.605623483453616E1	-1.989329107846249E1	-1.602720232804784E2
10.50	-2.440385525883468E1	-5.629846217606060E1	-1.984910431345237E1	-1.598899524452498E2
10.52	-2.454405583754117E1	-5.505967041639035E1	-1.991303545203585E1	-1.603910495515007E2
10.54	-2.453003916991553E1	-5.398922959926851E1	-1.989434892154643E1	-1.605795510784509E2
10.56	-2.453541798212491E1	-5.488189313507336E1	-1.989688725807161E1	-1.611957676485942E2
10.58	-2.461399672329101E1	-5.508268433695016E1	-1.989238261482587E1	-1.616746048475850E2
10.60	-2.460244962633162E1	-5.524021429847041E1	-1.980086579874133E1	-1.623137489179560E2
10.62	-2.450688026998911E1	-5.444666294989681E1	-1.975191858415492E1	-1.623583280908568E2
10.64	-2.448081135725611E1	-5.374122947176226E1	-1.971515490489732E1	-1.627284925559373E2
10.66	-2.458124210210055E1	-5.321348004346928E1	-1.972955657210078E1	-1.629524779442631E2
10.68	-2.477856100400657E1	-5.254737970544559E1	-1.973889041065018E1	-1.632638219863238E2
10.70	-2.503627473569586E1	-5.137548156352990E1	-1.978949820664140E1	-1.639862407615963E2
10.72	-2.514077304753597E1	-5.131614267713064E1	-1.979215526000305E1	-1.642305103038937E2
10.74	-2.531928426844162E1	-5.256299010898490E1	-1.973719603580925E1	-1.655308870826152E2
10.76	-2.543544220997649E1	-5.135854586289252E1	-1.975181530766870E1	-1.665592312139441E2
10.78	-2.554888790811884E1	-5.164497694555751E1	-1.969018022536346E1	-1.668925216460092E2
10.80	-2.549294443085131E1	-5.003738560040545E1	-1.967103078867492E1	-1.676307264464961E2
10.82	-2.569941531514282E1	-4.969159851357789E1	-1.970220960819652E1	-1.681530517648192E2
10.84	-2.615710207904910E1	-4.815932395578568E1	-1.975618229610986E1	-1.686108623162696E2
10.86	-2.646140823004615E1	-4.737501365762725E1	-1.979391654100444E1	-1.699214637769925E2
10.88	-2.673376683685307E1	-4.768902683718218E1	-1.983388251185017E1	-1.708198664770497E2
10.90	-2.697173715633501E1	-4.851577434598512E1	-1.983035433407027E1	-1.720019081078299E2
10.92	-2.730341243329199E1	-4.875770721715230E1	-1.977858802212216E1	-1.726737701273987E2
10.94	-2.742050497968491E1	-4.711991610898352E1	-1.979700231753651E1	-1.730849179551957E2
10.96	-2.756958312372640E1	-4.651246006865148E1	-1.981140044908717E1	-1.733929393048404E2
10.98	-2.784644094635154E1	-4.674401698393976E1	-1.996441175127010E1	-1.736254531401205E2
11.00	-2.846962132504362E1	-4.528745416305214E1	-2.003513685427325E1	-1.743396008029761E2
11.02	-2.886019886192074E1	-4.499315413629341E1	-2.022269913989966E1	-1.751442645573644E2
11.04	-2.926294097600483E1	-4.532088180089788E1	-2.034243739645494E1	-1.759391353749664E2
11.06	-2.975858340792969E1	-4.704366150825906E1	-2.036982211395551E1	-1.771876808138224E2
11.08	-2.984257266278693E1	-4.764756147841553E1	-2.043539886104905E1	-1.776994387009809E2
11.10	-3.010405988908465E1	-4.746124681169406E1	-2.039959204095606E1	-1.778358766825516E2
11.12	-3.032511437091997E1	-4.628494142878338E1	-2.045101563579470E1	-1.787598444692645E2
11.14	-3.075170019567752E1	-4.533975723954016E1	-2.060589249453772E1	-1.788646389505635E2
11.16	-3.154460842425023E1	-4.574860678598050E1	-2.066166596568293E1	-1.795873315033303E2
11.18	-3.220880230160771E1	-4.638863016918742E1	-2.081534979213057E1	1.792720088292165E2
11.20	-3.260824934193812E1	-4.751964742188211E1	-2.084279997518411E1	1.786043028302626E2
11.22	-3.304436952605581E1	-5.340114685945932E1	-2.089576127364428E1	1.776495571190416E2
11.24	-3.352728569418442E1	-5.457384633191789E1	-2.098550313347189E1	1.775331134727308E2
11.26	-3.354810417394121E1	-5.396826427598703E1	-2.098089595123367E1	1.775775523513302E2
11.28	-3.384229565965241E1	-5.591433389740736E1	-2.113450345795669E1	1.775086558858775E2
11.30	-3.452849042672749E1	-5.624060086026881E1	-2.129240715341494E1	1.777727415439559E2
11.32	-3.565021065533560E1	-5.708576664973158E1	-2.143957859867586E1	1.771384674662845E2
11.34	-3.610450708260478E1	-5.973428839793326E1	-2.164533761642669E1	1.769087182436414E2
11.36	-3.623176057489496E1	-6.549734091188009E1	-2.165037947936131E1	1.762121339896023E2
11.38	-3.657050746391986E1	-7.249043134889578E1	-2.175450500700751E1	1.756934896142457E2
11.40	-3.632054741223246E1	-7.334450013473104E1	-2.178298045065075E1	1.755498718268318E2
11.42	-3.641072686515332E1	-7.659928799026449E1	-2.192303218044878E1	1.764431512340433E2
11.44	-3.650443498638566E1	-7.490401994622263E1	-2.200734777373225E1	1.766922886464612E2
11.46	-3.687979176678154E1	-7.710653567997997E1	-2.225428567519434E1	1.772982825434481E2
11.48	-3.735558409561940E1	-8.093354337956558E1	-2.240551112480702E1	1.767023631864445E2
11.50	-3.806930439219286E1	-8.398644682549528E1	-2.261254803552752E1	1.761631900319521E2
11.52	-3.754729556003458E1	-8.865525521448384E1	-2.272012385397063E1	1.754321650524192E2
11.54	-3.674933388400338E1	-9.268976459632249E1	-2.275376903125235E1	1.745568385868509E2
11.56	-3.630938095720114E1	-9.458931584367130E1	-2.284126293559187E1	1.745517008547124E2
11.58	-3.641766743032925E1	-9.195247641100423E1	-2.291166619902686E1	1.748178692005697E2
11.60	-3.610156672982040E1	-9.007739091734516E1	-2.306001667003801E1	1.750565914527786E2
11.62	-3.650394210023691E1	-9.333032141184195E1	-2.331964101260988E1	1.753296635068960E2
11.64	-3.655899245834326E1	-9.359152144357896E1	-2.351825581701824E1	1.755341699288799E2
11.66	-3.606991626551666E1	-9.640230262257062E1	-2.376860232946913E1	1.740054232973051E2
11.68	-3.552115701337810E1	-1.000130042513729E2	-2.385637887057918E1	1.739763161720879E2
11.70	-3.485561958915785E1	-1.003015864830792E2	-2.390145730703468E1	1.742733009083605E2
11.72	-3.412272377731352E1	-9.936768632206804E1	-2.392851662493364E1	1.738358127804771E2
11.74	-3.398268100316690E1	-9.553391917180069E1	-2.407191772777260E1	1.753199340257526E2
11.76	-3.356527456768357E1	-9.402477677008196E1	-2.426514575631433E1	1.760763323246676E2
11.78	-3.356380104203587E1	-9.299494606045195E1	-2.457395582017714E1	1.771964948702244E2
11.80	-3.332368429916556E1	-9.625574394893195E1	-2.487388429261716E1	1.770160008967559E2
11.82	-3.322785162763356E1	-9.783224024681283E1	-2.501762650641999E1	1.770771993449265E2
11.84	-3.233704529538872E1	-9.820828571508572E1	-2.515861711111875E1	1.763238153301339E2
11.86	-3.176622419836039E1	-9.872324924711671E1	-2.516651419295164E1	1.762368122755611E2
11.88	-3.113440061496359E1	-9.780200461414400E1	-2.512108571484825E1	1.770719288562689E2
11.90	-3.085022169324049E1	-9.449499999559352E1	-2.521378717083012E1	1.786037947643403E2
11.92	-3.024065498521220E1	-9.343887410180604E1	-2.533731500183669E1	1.799566322237446E2
11.94	-3.031091030705558E1	-9.291517996683979E1	-2.556123719982337E1	-1.792245228693137E2
11.96	-3.008262581216462E1	-9.257308879113012E1	-2.575886139129687E1	-1.779561582790138E2
11.98	-2.969667944205055E1	-9.416299638590965E1	-2.581199013788341E1	-1.779476724267134E2
12.00	-2.923041305703843E1	-9.442795561714053E1	-2.578905342271472E1	-1.781021787858485E2
