Freq	Apet149	Apet199	Apla149	Apla199
9.86	-3.078051391602070	-3.381052642966777	-2.943987813880284	-3.162807402279017
9.88	-2.987790748423354	-3.472899048454598	-2.955514533060642	-3.253436855058669
9.90	-2.875355445255626	-3.523389802042676	-2.936809094183035	-3.297312462286876
9.92	-2.737296361964386	-3.517024053442869	-2.889226961091570	-3.293143401936547
9.94	-2.573511803628418	-3.447517419380055	-2.814160108833655	-3.241095567376165
9.96	-2.403239597860379	-3.330764331064560	-2.711592825227723	-3.138863540271983
9.98	-2.236135261959768	-3.177098380526481	-2.587708783412141	-2.996187281966986
10.00	-2.078682660163675	-2.995373484252616	-2.443356584971149	-2.823838722348588
10.02	-1.940068210710049	-2.801673499313622	-2.281994060932204	-2.633751953689063
10.04	-1.830321581377611	-2.609205718107526	-2.116970655697593	-2.441854592332026
10.06	-1.756666706376613	-2.436632272215208	-1.958802055274551	-2.269393710817173
10.08	-1.726923377914405	-2.303639890054335	-1.816081722970505	-2.137778269409668
10.10	-1.743231747152023	-2.231049550905285	-1.697257444986174	-2.060633213603009
10.12	-1.804632967683924	-2.233286433621911	-1.614672373994366	-2.053466341229802
10.14	-1.908401605353445	-2.295012921341814	-1.569899899489374	-2.116056507753434
10.16	-2.045499987619992	-2.420280240330359	-1.561768264858492	-2.239182749324139
10.18	-2.206248348662443	-2.596779121187631	-1.600593098903786	-2.404638029316360
10.20	-2.380936213970169	-2.794651931789589	-1.682325129666138	-2.599841591401480
10.22	-2.556996413420354	-2.999861812577109	-1.800397400366147	-2.803732876573923
10.24	-2.728004852542195	-3.196665675008776	-1.946213054928089	-2.997774540026498
10.26	-2.886533416824795	-3.367497878616662	-2.107962713545541	-3.166868248915324
10.28	-3.022148518309393	-3.498067247601409	-2.277827034428930	-3.299327850719424
10.30	-3.129051506301000	-3.579698501191861	-2.446993375947230	-3.382577985198644
10.32	-3.209427355193868	-3.608936461872629	-2.605634744022182	-3.412988138209331
10.34	-3.260421515332873	-3.587462791204004	-2.749003253841720	-3.392392380497789
10.36	-3.277287176236573	-3.519116267364958	-2.866616841153747	-3.322825023698901
10.38	-3.264005092860969	-3.405787721589924	-2.953783832179638	-3.208989557395998
10.40	-3.221323323412309	-3.243308244041305	-3.016037682939046	-3.055602362919745
10.42	-3.142581788880224	-3.052265292202778	-3.046595203562450	-2.873973561788872
10.44	-3.030676710550566	-2.851307438932227	-3.046697021225675	-2.679758997584893
10.46	-2.895418695561473	-2.654867237831117	-3.014720196279070	-2.489355396583984
10.48	-2.742082247470068	-2.480508543036305	-2.951561603774292	-2.323908844431571
10.50	-2.575275689783255	-2.349687666308001	-2.858754548567922	-2.200603204211283
10.52	-2.404483639990918	-2.276769113003594	-2.741154468301446	-2.135223691396268
10.54	-2.237994245419690	-2.273614218753326	-2.603487283378529	-2.132170679196237
10.56	-2.084829925786159	-2.336229796900635	-2.450677653558143	-2.189730766382368
10.58	-1.954626526195654	-2.455571048001888	-2.289993225614035	-2.303632691153288
10.60	-1.857128451063492	-2.612705071393290	-2.129632151240728	-2.457619399329774
10.62	-1.799084095819856	-2.789280475477393	-1.980240366845088	-2.632311236145357
10.64	-1.782536000156816	-2.968156463123277	-1.850499614291516	-2.808588835423886
10.66	-1.807365736126869	-3.131800726465583	-1.747891950324671	-2.973897813544814
10.68	-1.869658593817150	-3.269209185496562	-1.680262042693816	-3.114930919777549
10.70	-1.963842355418033	-3.370401194407795	-1.647503775825987	-3.216460117033057
10.72	-2.083950522755298	-3.430267630432777	-1.647580162728527	-3.272882701839802
10.74	-2.218653500414087	-3.446831167745853	-1.684610974017932	-3.285991159492133
10.76	-2.357011498460813	-3.419926182832923	-1.750879142819208	-3.255326136487147
10.78	-2.493766419297120	-3.356128151626004	-1.844879796904857	-3.185901868506173
10.80	-2.621195574495714	-3.251210372846890	-1.956864605160957	-3.080212096196755
10.82	-2.734913556970725	-3.103071807083567	-2.080927029379339	-2.940718030027730
10.84	-2.829665764748580	-2.930302651041726	-2.207245320337416	-2.780430261563617
10.86	-2.901908991518065	-2.753672253877152	-2.329086661371357	-2.615412648379523
10.88	-2.949593831526961	-2.587633940215406	-2.440377263352649	-2.457818335551908
10.90	-2.970664754169680	-2.443234500852115	-2.537844337127216	-2.320407479380936
10.92	-2.965933209983233	-2.333588494807193	-2.618211145055702	-2.215666503984613
10.94	-2.936502868577801	-2.268851276084144	-2.676911955947428	-2.152978882706407
10.96	-2.885832313789931	-2.255605841901482	-2.710280586825781	-2.139126953065660
10.98	-2.816695787092453	-2.289072226625884	-2.721806979045492	-2.171877753202134
11.00	-2.726582323718930	-2.356718670332909	-2.710470453567651	-2.244668222697355
11.02	-2.619179952672715	-2.455293867707587	-2.678448471324342	-2.341481366286431
11.04	-2.504616988423305	-2.576188737191197	-2.625444480849404	-2.457438649095527
11.06	-2.380300277848029	-2.702608457392210	-2.554268103347991	-2.579748643087219
11.08	-2.252509379408913	-2.824198451362235	-2.469939778930462	-2.697164349725976
11.10	-2.130468985505289	-2.931873405156118	-2.373471129249744	-2.802256031959927
11.12	-2.022003672426213	-3.018942647095662	-2.269802235230423	-2.886762674241906
11.14	-1.932425844587816	-3.078438648156056	-2.160238283868661	-2.945938736828736
11.16	-1.868672170043455	-3.110542971640586	-2.051298278768984	-2.978456912747023
11.18	-1.822132695181934	-3.112057804346299	-1.948242993804160	-2.983091277329002
11.20	-1.780315551550333	-3.083606361042726	-1.853422161488872	-2.958452867754281
11.22	-1.766315805985439	-3.028594628462053	-1.773490761827809	-2.907373606161123
11.24	-1.780326469080960	-2.947600650253978	-1.709630777001017	-2.835478411329577
11.26	-1.817772689433680	-2.848068741707983	-1.663254136636873	-2.751024891685970
11.28	-1.875074493014485	-2.737290251138270	-1.638839227036172	-2.648753395199386
11.30	-1.947941242793286	-2.623268851187726	-1.633877704901139	-2.533972231273864
11.32	-2.032728133466109	-2.514759332392097	-1.650756648581961	-2.425364968012854
11.34	-2.124308719482821	-2.424021583781599	-1.686231940114472	-2.330484891207320
11.36	-2.219384578767345	-2.356476017713685	-1.738190000567583	-2.254780130838077
11.38	-2.314121919520337	-2.305843359229665	-1.802820331283334	-2.203214707068873
11.40	-2.405118854913969	-2.276063535900011	-1.879019045089644	-2.180280718373915
11.42	-2.492580737382454	-2.278734533105644	-1.963737529008958	-2.190749112732604
11.44	-2.574824936778010	-2.317938379235604	-2.052000709340367	-2.232446293364879
11.46	-2.649531830407335	-2.385655668089624	-2.142341129374324	-2.302182982293716
11.48	-2.703746499846476	-2.478838918753717	-2.231057865004006	-2.397057339692446
11.50	-2.732357268017602	-2.590130052198163	-2.316482501843707	-2.504411192894352
11.52	-2.741641899883747	-2.709465391039720	-2.394751423756033	-2.612437237819981
11.54	-2.737504677352451	-2.829291540478238	-2.462327305099384	-2.722725670413487
11.56	-2.720815405516453	-2.941969614006283	-2.511850144760352	-2.826997122105994
11.58	-2.689307938830087	-3.042649941424990	-2.549258498964883	-2.918134370350354
11.60	-2.644277967730870	-3.126792218117825	-2.574590492896562	-2.991392461479810
11.62	-2.585123296889965	-3.181398261761463	-2.586323337443720	-3.041905635071004
11.64	-2.514944616343019	-3.204000369948268	-2.584873602911199	-3.069234123525683
11.66	-2.435702026457402	-3.202543865553589	-2.568242016593305	-3.071563964310986
11.68	-2.347408666777550	-3.177032241870958	-2.534822564218021	-3.048649458243110
11.70	-2.255956248986187	-3.111114653990391	-2.488023531591252	-3.001758370017156
11.72	-2.165203808181511	-3.013683421440390	-2.428040362294249	-2.921440450703305
11.74	-2.079540598502982	-2.900811473518323	-2.356132692171328	-2.816770056025763
11.76	-2.004733877615513	-2.780482972487139	-2.275880006587757	-2.704007563866764
11.78	-1.945191472536435	-2.659884008128943	-2.190284732035901	-2.593302513646015
11.80	-1.907448124599308	-2.552299052467275	-2.107249062024814	-2.492737658528418
11.82	-1.895983822350913	-2.468342639052312	-2.024259121375669	-2.413416179247129
11.84	-1.914148583943452	-2.418559928584791	-1.941752332616409	-2.364520543846350
11.86	-1.968412872024578	-2.408581871194142	-1.873050371731614	-2.354945346657882
11.88	-2.052198069976896	-2.448358818671379	-1.827047482014291	-2.393009823227958
11.90	-2.135796017100186	-2.532899568864056	-1.800580444113428	-2.468837471899596
11.92	-2.231570157145322	-2.661936073945159	-1.805777662532219	-2.588577263666861
11.94	-2.355654919014681	-2.826276393711497	-1.845196418542603	-2.742070111285769
11.96	-2.499171561185227	-3.007169650255316	-1.919434904146794	-2.912570420579486
11.98	-2.652101715788150	-3.193479136833754	-2.014675740723014	-3.082946429702151
12.00	-2.804496109646992	-3.372842605486139	-2.120240558351369	-3.246006327926582
